node,system_id,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank,downstream_count,upstream_count,is_articulation,importance_score,risk_label
ALB (web),food_ordering_01,1,3,4,0.06593406593406594,0.10714285714285714,0.0,0.06951789792431967,11,3,False,0.4972227772227772,high
ECS Service (orders),food_ordering_01,4,8,12,0.35714285714285715,0.3616071428571429,0.0,0.17565741895267684,10,9,True,1.2857142857142858,high
RDS (orders DB),food_ordering_01,2,2,4,0.024725274725274728,0.2892857142857143,0.0,0.057646965498160244,10,9,False,0.4224975024975025,medium
ElastiCache (menu cache),food_ordering_01,1,2,3,0.0,0.2410714285714286,0.0,0.04626838605627895,10,9,False,0.3584415584415585,medium
S3 (restaurant images),food_ordering_01,1,0,1,0.0,0.27472527472527475,0.0,0.04626838605627895,0,10,False,0.0,low
SQS (order events),food_ordering_01,1,1,2,0.08791208791208792,0.26298701298701305,0.0,0.04626838605627895,10,9,False,0.42053946053946056,medium
SNS (courier notifications),food_ordering_01,1,0,1,0.0,0.18796992481203006,0.0,0.03898359279118924,0,10,False,0.0,low
Lambda (order worker),food_ordering_01,1,5,6,0.09340659340659341,0.20663265306122452,0.0,0.0669334308909804,10,9,True,0.7721478521478522,high
Cognito (users),food_ordering_01,1,0,1,0.0,0.27472527472527475,0.0,0.04626838605627895,0,10,False,0.0,low
CloudWatch,food_ordering_01,4,1,5,0.12912087912087913,0.41326530612244905,0.0,0.09904824391144268,10,9,False,0.5757842157842159,high
IAM,food_ordering_01,3,0,3,0.0,0.35714285714285715,0.0,0.0773437559907228,0,10,False,0.07272727272727274,low
VPC (main),food_ordering_01,4,0,4,0.0,0.35714285714285715,0.0,0.10181143315048813,0,10,False,0.10909090909090909,low
API Gateway (mobile),rideshare_backend_01,0,5,5,0.0,0.0,0.0,0.032539010148323076,12,0,False,0.5142857142857143,high
Lambda (trip management),rideshare_backend_01,6,9,15,0.36363636363636365,0.5104166666666667,0.0,0.2732164067877299,9,7,True,1.3,high
Lambda (pricing),rideshare_backend_01,1,5,6,0.015151515151515152,0.08333333333333333,0.0,0.038070689038984015,11,1,True,0.7261904761904763,high
DynamoDB (trips),rideshare_backend_01,2,1,3,0.022727272727272728,0.34027777777777785,0.0,0.06481520389005067,9,7,False,0.3821428571428572,high
RDS (billing),rideshare_backend_01,1,2,3,0.0,0.2916666666666667,0.0,0.058343157736056875,9,7,False,0.3571428571428572,medium
ElastiCache (surge cache),rideshare_backend_01,1,0,1,0.0,0.1111111111111111,0.0,0.039011056302316875,0,2,False,0.0,low
Kinesis (event stream),rideshare_backend_01,1,2,3,0.0,0.2916666666666667,0.0,0.058343157736056875,9,7,False,0.3571428571428572,medium
SQS (trip updates),rideshare_backend_01,1,1,2,0.0,0.2916666666666667,0.0,0.058343157736056875,9,7,False,0.3285714285714286,medium
SNS (driver alerts),rideshare_backend_01,1,0,1,0.0,0.3333333333333333,0.0,0.058343157736056875,0,8,False,0.0,low
S3 (logs),rideshare_backend_01,2,0,2,0.0,0.3555555555555555,0.0,0.06387483662671782,0,8,False,0.02857142857142857,low
CloudWatch,rideshare_backend_01,4,1,5,0.022727272727272728,0.4083333333333333,0.0,0.09514248118579978,9,7,False,0.43928571428571433,high
IAM,rideshare_backend_01,3,0,3,0.0,0.41025641025641024,0.0,0.07034688278071162,0,8,False,0.05714285714285714,low
VPC (main),rideshare_backend_01,3,0,3,0.0,0.41025641025641024,0.0,0.08961080229513883,0,8,False,0.05714285714285714,low
API Gateway (notifications admin),notification_service_01,0,3,3,0.0,0.0,0.0,0.032420146424127355,9,0,False,0.43333333333333335,high
Lambda (notification dispatcher),notification_service_01,6,8,14,0.5694444444444444,0.6666666666666666,0.0,0.3413336788759506,8,6,True,1.3555555555555556,high
SNS (notifications topic),notification_service_01,1,1,2,0.0,0.3636363636363636,0.0,0.0686863500101917,8,6,False,0.35555555555555557,high
SQS (email queue),notification_service_01,1,1,2,0.0,0.3636363636363636,0.0,0.0686863500101917,8,6,False,0.35555555555555557,high
SES (email service),notification_service_01,1,1,2,0.0,0.4188034188034188,0.0,0.0686863500101917,1,7,False,0.044444444444444446,low
DynamoDB (user preferences),notification_service_01,1,1,2,0.0,0.3636363636363636,0.0,0.0686863500101917,8,6,False,0.35555555555555557,high
S3 (templates),notification_service_01,1,1,2,0.0,0.3636363636363636,0.0,0.0686863500101917,8,6,False,0.35555555555555557,high
CloudWatch,notification_service_01,2,1,3,0.0,0.39999999999999997,0.0,0.07787203905697657,8,6,False,0.3888888888888889,high
IAM,notification_service_01,2,0,2,0.0,0.4537037037037037,0.0,0.07787203905697657,0,7,False,0.0,low
VPC (main),notification_service_01,2,0,2,0.0,0.5079365079365079,0.0,0.12707034653501045,0,8,False,0.0,low
Kinesis (raw events),analytics_pipeline_01,0,2,2,0.0,0.0,0.0,0.035214086699972565,10,0,False,0.4,medium
Lambda (transform),analytics_pipeline_01,4,6,10,0.30925925925925923,0.39999999999999997,0.0,0.172619370998275,9,6,False,1.1600000000000001,high
S3 (raw data lake),analytics_pipeline_01,1,2,3,0.044444444444444446,0.2571428571428571,0.0,0.05966850891357351,9,6,False,0.4674850299401198,high
S3 (curated data),analytics_pipeline_01,1,1,2,0.044444444444444446,0.3,0.0,0.05966850891357351,9,6,False,0.4174850299401198,medium
Glue Data Catalog,analytics_pipeline_01,2,2,4,0.1574074074074074,0.27692307692307694,0.0,0.11129102624609027,9,6,False,0.6635928143712575,high
Athena (ad hoc queries),analytics_pipeline_01,1,3,4,0.037037037037037035,0.24499999999999997,0.0,0.08251305040528358,3,7,False,0.2679041916167665,low
Redshift (warehouse),analytics_pipeline_01,2,5,7,0.15185185185185185,0.36,0.0,0.10696747261888452,9,6,False,0.8064071856287426,high
QuickSight (dashboards),analytics_pipeline_01,2,0,2,0.0,0.35555555555555557,0.0,0.07677681718567825,0,8,False,0.0,low
CloudWatch,analytics_pipeline_01,3,1,4,0.0,0.36,0.0,0.09281867922011064,9,6,False,0.4600000000000001,medium
IAM,analytics_pipeline_01,3,0,3,0.0,0.45714285714285713,0.0,0.10123123939927918,0,8,False,0.05,low
VPC (main),analytics_pipeline_01,3,0,3,0.0,0.45714285714285713,0.0,0.10123123939927918,0,8,False,0.05,low
Route 53,billing_platform_01,0,1,1,0.0,0.0,0.0,0.029682257655191606,16,0,False,0.4,high
CloudFront (web),billing_platform_01,1,1,2,0.0625,0.0625,0.0,0.054912329039268105,15,1,True,0.7732905982905982,high
ALB (app),billing_platform_01,1,1,2,0.11666666666666667,0.08333333333333333,0.0,0.07635732907535094,14,2,True,0.8816239316239316,high
ECS Service (billing API),billing_platform_01,1,9,10,0.1625,0.09375,0.0,0.0945855521683137,13,3,True,1.325,high
RDS (billing DB),billing_platform_01,2,1,3,0.004166666666666667,0.17307692307692307,0.0,0.05103566342966769,1,6,False,0.12414529914529915,medium
DynamoDB (usage ledger),billing_platform_01,2,1,3,0.004166666666666667,0.17307692307692307,0.0,0.05103566342966769,1,6,False,0.12414529914529915,medium
Stripe API (payments SaaS),billing_platform_01,2,1,3,0.016666666666666666,0.14204545454545453,0.0,0.05103566342966769,6,5,False,0.2799145299145299,medium
Plaid API (bank linking),billing_platform_01,1,0,1,0.0,0.1,0.0,0.038614979823023976,0,4,False,0.0,low
SQS (billing jobs queue),billing_platform_01,1,1,2,0.05,0.1,0.0,0.038614979823023976,5,4,False,0.29252136752136754,medium
Lambda (invoice generator),billing_platform_01,1,4,5,0.05,0.10416666666666666,0.0,0.0625052073042648,4,5,True,0.6008547008547009,high
Lambda (payment reconciler),billing_platform_01,1,5,6,0.020833333333333332,0.10416666666666666,0.0,0.07306300900457445,6,5,False,0.42350427350427355,high
S3 (invoice PDFs),billing_platform_01,1,0,1,0.0,0.10714285714285714,0.0,0.04296477298105483,0,6,False,0.0,low
SNS (billing notifications),billing_platform_01,1,0,1,0.0,0.10714285714285714,0.0,0.04296477298105483,0,6,False,0.0,low
CloudWatch,billing_platform_01,3,0,3,0.0,0.25,0.0,0.0643181787555309,0,8,False,0.08888888888888889,low
IAM,billing_platform_01,3,0,3,0.0,0.25,0.0,0.0643181787555309,0,8,False,0.08888888888888889,low
VPC (main),billing_platform_01,3,0,3,0.0,0.23529411764705882,0.0,0.12537648252178968,0,8,False,0.08888888888888889,low
Datadog Agent (metrics sidecar),billing_platform_01,1,0,1,0.0,0.1,0.0,0.038614979823023976,0,4,False,0.0,low
Route 53,support_ticketing_01,0,1,1,0.0,0.0,0.0,0.030964807538214286,15,0,False,0.4,high
CloudFront (support web),support_ticketing_01,1,1,2,0.06666666666666668,0.06666666666666667,0.0,0.05728507480045135,14,1,True,0.778888888888889,high
ALB (support app),support_ticketing_01,1,1,2,0.12380952380952381,0.08888888888888888,0.0,0.07965766539440888,13,2,True,0.8855555555555557,high
ECS Service (support web app),support_ticketing_01,1,8,9,0.17142857142857143,0.1,0.0,0.0986745658707194,12,3,True,1.32,high
RDS (tickets DB),support_ticketing_01,2,1,3,0.0071428571428571435,0.2177777777777778,0.0,0.05397580852713142,1,7,False,0.14333333333333334,medium
DynamoDB (session store),support_ticketing_01,1,1,2,0.0,0.10666666666666667,0.0,0.04144865113351005,1,4,False,0.07666666666666667,medium
SQS (ticket events queue),support_ticketing_01,1,1,2,0.0761904761904762,0.10666666666666667,0.0,0.04144865113351005,9,4,False,0.4677777777777778,high
Lambda (ticket worker),support_ticketing_01,2,7,9,0.1285714285714286,0.15000000000000002,0.0,0.10316467843226626,8,6,True,1.1133333333333335,high
Zendesk API (agent console SaaS),support_ticketing_01,1,1,2,0.0,0.11428571428571428,0.0,0.04349196493183565,8,6,False,0.26333333333333336,medium
Salesforce API (CRM),support_ticketing_01,1,0,1,0.0,0.14202898550724638,0.0,0.04349196493183565,0,7,False,0.0,low
Elasticsearch / OpenSearch (ticket search index),support_ticketing_01,1,1,2,0.0071428571428571435,0.14202898550724638,0.0,0.04349196493183565,1,7,False,0.09333333333333335,medium
S3 (ticket attachments),support_ticketing_01,1,0,1,0.0,0.10666666666666667,0.0,0.04144865113351005,0,4,False,0.0,low
SNS (ticket notifications),support_ticketing_01,2,0,2,0.0,0.2177777777777778,0.0,0.05397580852713142,0,7,False,0.05,low
CloudWatch,support_ticketing_01,2,0,2,0.0,0.2177777777777778,0.0,0.05397580852713142,0,7,False,0.05,low
IAM,support_ticketing_01,2,0,2,0.0,0.2177777777777778,0.0,0.05397580852713142,0,7,False,0.05,low
VPC (main),support_ticketing_01,4,0,4,0.0,0.31746031746031744,0.0,0.1595281256593769,0,10,False,0.15000000000000002,medium
API Gateway (recommendations),recommendation_service_01,0,1,1,0.0,0.0,0.0,0.03509175972964417,8,0,False,0.35555555555555557,medium
Lambda (recommendation API),recommendation_service_01,1,6,7,0.038461538461538464,0.07142857142857142,0.0,0.0649200572677881,7,1,True,1.0095238095238095,high
Kinesis (clickstream events),recommendation_service_01,1,1,2,0.019230769230769232,0.07142857142857142,0.0,0.05000590849871614,7,1,False,0.446031746031746,high
MSK / Kafka Cluster (behavior stream),recommendation_service_01,1,1,2,0.019230769230769232,0.07142857142857142,0.0,0.05000590849871614,7,1,False,0.446031746031746,high
Lambda (feature enricher),recommendation_service_01,2,6,8,0.09890109890109891,0.1607142857142857,0.0,0.12010205562565249,6,3,True,1.2666666666666666,high
S3 (user features store),recommendation_service_01,1,0,1,0.0,0.14285714285714285,0.0,0.052106071664373935,0,4,False,0.0,low
DynamoDB (user profiles),recommendation_service_01,2,1,3,0.0,0.23376623376623373,0.0,0.06130307139068467,1,6,False,0.15873015873015872,medium
SageMaker Endpoint (ranking model),recommendation_service_01,1,3,4,0.01098901098901099,0.09523809523809523,0.0,0.0442887594559549,3,2,True,0.5492063492063493,high
Redis (feature cache),recommendation_service_01,1,1,2,0.0,0.09523809523809523,0.0,0.0442887594559549,1,2,False,0.10158730158730159,low
S3 (model artifacts),recommendation_service_01,1,0,1,0.0,0.10714285714285714,0.0,0.04764029631183183,0,3,False,0.0,low
CloudWatch,recommendation_service_01,3,0,3,0.0,0.2916666666666667,0.0,0.07385160797287232,0,7,False,0.11428571428571428,low
IAM,recommendation_service_01,3,0,3,0.0,0.2916666666666667,0.0,0.07385160797287232,0,7,False,0.11428571428571428,low
VPC (main),recommendation_service_01,5,0,5,0.0,0.41326530612244905,0.0,0.1953463047609199,0,9,False,0.22857142857142856,medium
Elasticsearch / OpenSearch (reco logs index),recommendation_service_01,1,1,2,0.0,0.14285714285714285,0.0,0.052106071664373935,1,4,False,0.10158730158730159,low
Segment (event collector SaaS),recommendation_service_01,0,2,2,0.0,0.0,0.0,0.03509175972964417,9,0,False,0.4571428571428572,high
Route 53,identity_platform_01,0,1,1,0.0,0.0,0.0,0.028773205655708966,14,0,False,0.4,medium
CloudFront (auth UI),identity_platform_01,1,1,2,0.07142857142857144,0.07142857142857142,0.0,0.0532303079046155,13,1,True,0.7368032484311555,high
ALB (auth service),identity_platform_01,1,1,2,0.13186813186813187,0.09523809523809523,0.0,0.07401902618899228,12,2,True,0.8105574012550756,high
ECS Service (OAuth server),identity_platform_01,2,8,10,0.23626373626373628,0.16326530612244897,0.0,0.12767698821483306,11,4,True,1.3142857142857143,high
RDS (identity DB),identity_platform_01,2,1,3,0.016483516483516484,0.2689075630252101,0.0,0.05670877544391561,1,8,False,0.1453672942045035,medium
Redis (session cache),identity_platform_01,1,1,2,0.0,0.1488095238095238,0.0,0.042339009476591936,1,5,False,0.07301587301587302,low
Cognito (user pool),identity_platform_01,2,2,4,0.0,0.2689075630252101,0.0,0.05670877544391561,2,8,False,0.19047619047619047,medium
Okta IdP (enterprise SSO),identity_platform_01,1,1,2,0.0,0.11428571428571428,0.0,0.042339009476591936,11,4,False,0.35873015873015873,medium
LDAP Directory (on-prem),identity_platform_01,1,1,2,0.08241758241758243,0.1488095238095238,0.0,0.042339009476591936,8,5,False,0.41255075673680325,high
Lambda (provisioning sync),identity_platform_01,2,6,8,0.1263736263736264,0.18421052631578946,0.0,0.10143204854485677,7,7,True,0.9250645994832041,high
SQS (provisioning queue),identity_platform_01,1,1,2,0.0,0.14,0.0,0.043142971623032635,7,7,False,0.24444444444444446,medium
SNS (security alerts),identity_platform_01,1,0,1,0.0,0.1693121693121693,0.0,0.043142971623032635,0,8,False,0.0,low
CloudWatch,identity_platform_01,3,0,3,0.0,0.32142857142857145,0.0,0.08080964576403624,0,9,False,0.08888888888888889,low
IAM,identity_platform_01,3,0,3,0.0,0.32142857142857145,0.0,0.08080964576403624,0,9,False,0.08888888888888889,low
VPC (main),identity_platform_01,3,0,3,0.0,0.3246753246753247,0.0,0.12652860939924856,0,10,False,0.08888888888888889,low
API Gateway (upload),media_transcoding_01,0,1,1,0.0,0.0,0.0,0.0284999795511217,12,0,False,0.4,medium
Lambda (upload pre-processor),media_transcoding_01,1,5,6,0.07051282051282051,0.07692307692307693,0.0,0.052724736480386385,11,1,True,1.1183908045977011,high
S3 (raw uploads),media_transcoding_01,2,1,3,0.16666666666666666,0.20512820512820512,0.0,0.0887549727790999,8,4,False,0.785287356321839,high
S3 (transcoded media),media_transcoding_01,3,1,4,0.1794871794871795,0.2591093117408907,0.0,0.10171747384805953,6,8,True,1.0262068965517241,high
Elastic Transcoder / MediaConvert,media_transcoding_01,1,3,4,0.1858974358974359,0.17482517482517482,0.0,0.10394190052821667,7,5,False,0.8733333333333334,high
ECS Service (thumbnail generator),media_transcoding_01,1,5,6,0.16666666666666666,0.18934911242603553,0.0,0.11496120027446574,6,8,False,0.9586206896551723,high
Lambda (metadata extractor),media_transcoding_01,1,3,4,0.05769230769230769,0.178021978021978,0.0,0.048043022483954416,4,9,False,0.4974712643678161,medium
DynamoDB (media metadata),media_transcoding_01,1,1,2,0.00641025641025641,0.17094017094017094,0.0,0.04211222928350497,1,10,False,0.1271264367816092,low
CloudFront (media CDN),media_transcoding_01,0,1,1,0.0,0.0,0.0,0.0284999795511217,7,0,False,0.23333333333333336,low
Encoding Farm (on-prem cluster),media_transcoding_01,1,1,2,0.05769230769230769,0.11538461538461539,0.0,0.06034348454899164,9,3,False,0.5041379310344828,medium
RabbitMQ (encoding jobs queue),media_transcoding_01,1,1,2,0.01282051282051282,0.10256410256410256,0.0,0.03746318277507565,10,2,False,0.4409195402298851,medium
CloudWatch,media_transcoding_01,4,0,4,0.0,0.38461538461538464,0.0,0.10006816987513208,0,10,False,0.24,low
IAM,media_transcoding_01,4,0,4,0.0,0.38461538461538464,0.0,0.10006816987513208,0,10,False,0.24,low
VPC (main),media_transcoding_01,3,0,3,0.0,0.3102564102564102,0.0,0.09280149814573777,0,11,False,0.16000000000000003,low
Route 53,ad_serving_platform_01,0,1,1,0.0,0.0,0.0,0.027570487969546024,10,0,False,0.4,high
CloudFront (ads CDN),ad_serving_platform_01,1,1,2,0.03308823529411765,0.058823529411764705,0.0,0.05100554700131897,9,1,True,0.7433333333333334,high
ALB (ad API),ad_serving_platform_01,1,1,2,0.058823529411764705,0.0784313725490196,0.0,0.07092513855769521,8,2,True,0.8070370370370372,high
ECS Service (ad decision API),ad_serving_platform_01,2,7,9,0.09926470588235294,0.13445378151260504,0.0,0.12410153624103161,7,4,True,1.28,high
RDS (campaign DB),ad_serving_platform_01,1,1,2,0.0,0.12254901960784315,0.0,0.042639754549085446,1,5,False,0.09000000000000001,low
DynamoDB (realtime counters),ad_serving_platform_01,2,1,3,0.007352941176470588,0.19215686274509802,0.0,0.05347841719612274,1,7,False,0.16962962962962966,medium
Kinesis (impression stream),ad_serving_platform_01,0,1,1,0.0,0.0,0.0,0.027570487969546024,6,0,False,0.24,medium
Lambda (click tracker),ad_serving_platform_01,1,4,5,0.01838235294117647,0.058823529411764705,0.0,0.05100554700131897,5,1,True,0.674074074074074,high
Lambda (aggregation worker),ad_serving_platform_01,0,6,6,0.0,0.0,0.0,0.027570487969546024,7,0,True,0.73,high
S3 (raw logs),ad_serving_platform_01,2,0,2,0.0,0.1323529411764706,0.0,0.042314993788545474,0,3,False,0.05,low
S3 (aggregated reports),ad_serving_platform_01,1,0,1,0.0,0.058823529411764705,0.0,0.031476331141508176,0,1,False,0.0,low
Redshift (ad analytics warehouse),ad_serving_platform_01,1,1,2,0.003676470588235294,0.058823529411764705,0.0,0.031476331141508176,1,1,False,0.10481481481481483,medium
Elasticsearch / OpenSearch (ad search index),ad_serving_platform_01,1,0,1,0.0,0.058823529411764705,0.0,0.031476331141508176,0,1,False,0.0,low
Redis (ad cache),ad_serving_platform_01,1,1,2,0.0,0.12254901960784315,0.0,0.042639754549085446,1,5,False,0.09000000000000001,low
Third-Party Ad Exchange API,ad_serving_platform_01,1,1,2,0.0,0.09411764705882353,0.0,0.042639754549085446,7,4,False,0.32999999999999996,medium
CloudWatch,ad_serving_platform_01,3,0,3,0.0,0.23529411764705882,0.0,0.0573842603680849,0,8,False,0.1,low
IAM,ad_serving_platform_01,3,0,3,0.0,0.23529411764705882,0.0,0.0573842603680849,0,8,False,0.1,low
VPC (main),ad_serving_platform_01,5,0,5,0.0,0.36828644501278773,0.0,0.18734057849737806,0,12,False,0.2,medium
API Gateway (partner),partner_integration_hub_01,0,1,1,0.0,0.0,0.0,0.04057039423577456,14,0,False,0.4,medium
Lambda (webhook router),partner_integration_hub_01,2,4,6,0.11813186813186814,0.16326530612244897,0.0,0.09600651028991822,13,4,True,1.0624007936507938,high
Lambda (transformation worker),partner_integration_hub_01,1,9,10,0.17582417582417584,0.12698412698412698,0.0,0.09239583384337022,13,4,True,1.3714285714285714,high
SQS (incoming webhooks),partner_integration_hub_01,1,1,2,0.1263736263736264,0.14285714285714285,0.0,0.060972180700462446,13,4,False,0.7033730158730159,high
SQS (outgoing webhooks),partner_integration_hub_01,1,0,1,0.0,0.12755102040816327,0.0,0.04929681898104324,0,5,False,0.0,low
EventBridge (internal events),partner_integration_hub_01,1,2,3,0.06043956043956045,0.11428571428571428,0.0,0.04929681898104324,13,4,False,0.5978174603174604,high
ECS Service (mapping config API),partner_integration_hub_01,1,5,6,0.041208791208791215,0.11904761904761904,0.0,0.061521569382686325,5,5,True,0.6588293650793651,high
DynamoDB (partner configs),partner_integration_hub_01,1,0,1,0.0,0.12244897959183672,0.0,0.05102916293099617,0,6,False,0.0,low
Postgres (partner audit DB),partner_integration_hub_01,2,1,3,0.0,0.1978021978021978,0.0,0.05975558767626484,1,6,False,0.11746031746031746,medium
Third-Party CRM API,partner_integration_hub_01,1,0,1,0.0,0.12755102040816327,0.0,0.04929681898104324,0,5,False,0.0,low
Third-Party ERP API,partner_integration_hub_01,1,0,1,0.0,0.12755102040816327,0.0,0.04929681898104324,0,5,False,0.0,low
S3 (dead-letter payloads),partner_integration_hub_01,1,0,1,0.0,0.12755102040816327,0.0,0.04929681898104324,0,5,False,0.0,low
CloudWatch,partner_integration_hub_01,3,0,3,0.0,0.2857142857142857,0.0,0.08015737414095273,0,6,False,0.08888888888888889,medium
IAM,partner_integration_hub_01,3,0,3,0.0,0.2857142857142857,0.0,0.08015737414095273,0,6,False,0.08888888888888889,medium
VPC (main),partner_integration_hub_01,4,0,4,0.0,0.35,0.0,0.13094991775340548,0,7,False,0.13333333333333333,medium
Route 53,main_system_01,0,2,2,0.0,0.0,0.0,0.006783802979897058,51,0,False,0.4470588235294118,high
CloudFront (web/app CDN),main_system_01,1,2,3,0.0017345587017718166,0.01639344262295082,0.0,0.00966689459834882,25,1,False,0.2866019602245694,high
CloudFront (video CDN),main_system_01,1,3,4,0.011653419440304685,0.01639344262295082,0.0,0.00966689459834882,45,1,False,0.5809916430174696,high
AWS WAF,main_system_01,1,1,2,0.007472263619804603,0.02185792349726776,0.0,0.010892265005731185,23,2,False,0.313329750969757,high
ALB (web),main_system_01,1,2,3,0.012936744494121542,0.02459016393442623,0.0,0.016042283940609622,22,3,False,0.39181933692689186,high
ALB (API),main_system_01,1,2,3,0.01701357840702103,0.02185792349726776,0.0,0.009522777663786475,44,2,False,0.6112234331357437,high
API Gateway (public API),main_system_01,1,10,11,0.027396092068223216,0.02459016393442623,0.0,0.0108309938396185,43,3,False,0.9109418817484173,high
ECS Service (web frontend),main_system_01,1,6,7,0.01703510514985925,0.026229508196721315,0.0,0.013601843491776157,21,4,False,0.5251963303163115,high
ECS Service (auth service),main_system_01,1,6,7,0.0025709278578131033,0.026229508196721315,0.0,0.0077044425903080565,9,4,False,0.2648418069292614,medium
ECS Service (user profile service),main_system_01,1,4,5,0.002338687420654634,0.026229508196721315,0.0,0.0077044425903080565,7,4,False,0.19942756815353416,medium
ECS Service (catalog service),main_system_01,1,5,6,0.00231591875034498,0.026229508196721315,0.0,0.0077044425903080565,7,4,False,0.22269529945387617,medium
ECS Service (search service),main_system_01,1,3,4,0.0017284870563559088,0.026229508196721315,0.0,0.0077044425903080565,5,4,False,0.15319884543407236,medium
ECS Service (recommendation service),main_system_01,2,8,10,0.026295882320472485,0.06898020012774111,0.0,0.015503215102426821,10,18,True,0.8159442233454424,high
ECS Service (playback session service),main_system_01,1,8,9,0.007944334050891427,0.026229508196721315,0.0,0.0077044425903080565,22,4,False,0.4756180043622741,high
ECS Service (streaming control service),main_system_01,0,3,3,0.0,0.0,0.0,0.006783802979897058,6,0,False,0.11764705882352942,low
ECS Service (billing service),main_system_01,1,3,4,0.001974388695700171,0.026229508196721315,0.0,0.0077044425903080565,9,4,False,0.18739754346881013,medium
ECS Service (subscription service),main_system_01,1,3,4,0.001974388695700171,0.026229508196721315,0.0,0.0077044425903080565,9,4,False,0.18739754346881013,medium
ECS Service (notification service),main_system_01,3,2,5,0.004870563559088149,0.06639344262295083,0.0,0.03938613197593855,6,9,False,0.22068329853589547,medium
ECS Service (download service),main_system_01,1,2,3,0.0014754098360655738,0.026229508196721315,0.0,0.0077044425903080565,3,4,False,0.11107454114960287,low
ECS Service (device registry service),main_system_01,0,2,2,0.0,0.0,0.0,0.006783802979897058,3,0,True,0.2705882352941177,high
ECS Service (experiment service),main_system_01,1,2,3,0.0226775956284153,0.061528635299127096,0.0,0.01834976179388236,12,17,False,0.4253396248593643,high
RDS (user accounts DB),main_system_01,2,2,4,0.0012021857923497268,0.044626593806921674,0.0,0.015114951105408343,2,7,False,0.12362065008704023,low
RDS (billing DB),main_system_01,2,2,4,0.0013114754098360656,0.036885245901639344,0.0,0.011149636570880403,2,6,False,0.12487671631598686,medium
Aurora (catalog DB),main_system_01,1,2,3,0.0003825136612021858,0.027322404371584695,0.0,0.008093553057192062,2,5,False,0.09067074160523474,low
DynamoDB (session store),main_system_01,4,1,5,0.0004098360655737705,0.058287795992714025,0.0,0.01321413439102279,1,8,True,0.3302004444369812,high
DynamoDB (playback state),main_system_01,2,1,3,0.000273224043715847,0.036885245901639344,0.0,0.009524457857174276,1,6,False,0.08157153812138616,low
DynamoDB (device registry),main_system_01,1,0,1,0.0,0.01639344262295082,0.0,0.00966689459834882,0,1,False,0.023529411764705882,low
DynamoDB (user features),main_system_01,2,0,2,0.0,0.08576859111427892,0.0,0.011244524674933698,0,19,False,0.047058823529411764,low
OpenSearch (search index),main_system_01,2,0,2,0.0,0.036885245901639344,0.0,0.010276469852683733,0,6,False,0.047058823529411764,low
Redis (web cache),main_system_01,2,0,2,0.0,0.05311475409836065,0.0,0.010893661765705755,0,9,False,0.047058823529411764,low
