Source,Target,Type,relation,system_id
Aurora (catalog DB),KMS (encryption keys),Directed,unidirectional,main_system_01
S3 (encoded assets),KMS (encryption keys),Directed,unidirectional,main_system_01
S3 (logs archive),KMS (encryption keys),Directed,unidirectional,main_system_01
ALB (web),VPC (main),Directed,unidirectional,main_system_01
ALB (API),VPC (main),Directed,unidirectional,main_system_01
ECS Service (web frontend),VPC (main),Directed,unidirectional,main_system_01
ECS Service (auth service),VPC (main),Directed,unidirectional,main_system_01
ECS Service (catalog service),VPC (main),Directed,unidirectional,main_system_01
ECS Service (recommendation service),VPC (main),Directed,unidirectional,main_system_01
ECS Service (playback session service),VPC (main),Directed,unidirectional,main_system_01
ECS Service (encoding orchestrator),VPC (main),Directed,unidirectional,main_system_01
EC2 Auto Scaling Group (encoding workers),VPC (main),Directed,unidirectional,main_system_01
RDS (user accounts DB),VPC (main),Directed,unidirectional,main_system_01
RDS (billing DB),VPC (main),Directed,unidirectional,main_system_01
Aurora (catalog DB),VPC (main),Directed,unidirectional,main_system_01
DynamoDB (session store),VPC (main),Directed,unidirectional,main_system_01
DynamoDB (playback state),VPC (main),Directed,unidirectional,main_system_01
MSK / Kafka Cluster (event bus),VPC (main),Directed,unidirectional,main_system_01
Redshift (analytics warehouse),VPC (main),Directed,unidirectional,main_system_01
SageMaker Endpoint (reco model),VPC (main),Directed,unidirectional,main_system_01
