source,target,relation,system_id
Redshift (warehouse),IAM,unidirectional,analytics_pipeline_01
Athena (ad hoc queries),IAM,unidirectional,analytics_pipeline_01
Lambda (transform),VPC (main),unidirectional,analytics_pipeline_01
Redshift (warehouse),VPC (main),unidirectional,analytics_pipeline_01
Athena (ad hoc queries),VPC (main),unidirectional,analytics_pipeline_01
Lambda (transform),S3 (raw data lake),unidirectional,analytics_pipeline_01
S3 (raw data lake),Lambda (transform),unidirectional,analytics_pipeline_01
Lambda (transform),Redshift (warehouse),unidirectional,analytics_pipeline_01
Redshift (warehouse),Lambda (transform),unidirectional,analytics_pipeline_01
CloudWatch,Lambda (transform),unidirectional,analytics_pipeline_01
Lambda (transform),CloudWatch,unidirectional,analytics_pipeline_01
