Id,Label,node,system_id,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank,downstream_count,upstream_count,is_articulation,importance_score,risk_label
DynamoDB (playback state),DynamoDB (playback state),DynamoDB (playback state),main_system_01,2,1,3,0.0002732240437158,0.0368852459016393,0.0,0.0095244578571742,1,6,False,0.0815715381213861,low
DynamoDB (device registry),DynamoDB (device registry),DynamoDB (device registry),main_system_01,1,0,1,0.0,0.0163934426229508,0.0,0.0096668945983488,0,1,False,0.0235294117647058,low
DynamoDB (user features),DynamoDB (user features),DynamoDB (user features),main_system_01,2,0,2,0.0,0.0857685911142789,0.0,0.0112445246749336,0,19,False,0.0470588235294117,low
OpenSearch (search index),OpenSearch (search index),OpenSearch (search index),main_system_01,2,0,2,0.0,0.0368852459016393,0.0,0.0102764698526837,0,6,False,0.0470588235294117,low
Redis (web cache),Redis (web cache),Redis (web cache),main_system_01,2,0,2,0.0,0.0531147540983606,0.0,0.0108936617657057,0,9,False,0.0470588235294117,low
Redis (session cache),Redis (session cache),Redis (session cache),main_system_01,2,0,2,0.0,0.0368852459016393,0.0,0.0095124489742616,0,6,False,0.0470588235294117,low
S3 (raw uploads),S3 (raw uploads),S3 (raw uploads),main_system_01,1,1,2,0.0021857923497267,0.0245901639344262,0.0,0.0097111084237663,7,3,False,0.1270821088926578,medium
S3 (encoded assets),S3 (encoded assets),S3 (encoded assets),main_system_01,5,1,6,0.0022950819672131,0.1044003451251078,0.0,0.0208421893751532,1,11,False,0.1753969986510162,medium
S3 (thumbnails),S3 (thumbnails),S3 (thumbnails),main_system_01,3,0,3,0.0,0.0708430913348946,0.0,0.0173623101942607,0,11,False,0.0705882352941176,low
S3 (analytics raw),S3 (analytics raw),S3 (analytics raw),main_system_01,1,1,2,0.003551912568306,0.0503725782414306,0.0,0.009597268904613,15,13,False,0.2055280347937062,medium
S3 (analytics curated),S3 (analytics curated),S3 (analytics curated),main_system_01,1,1,2,0.003551912568306,0.0503725782414306,0.0,0.009597268904613,15,13,False,0.2055280347937062,medium
S3 (feature store),S3 (feature store),S3 (feature store),main_system_01,1,0,1,0.0,0.0616461748633879,0.0,0.0084310587502177,0,19,False,0.0235294117647058,low
S3 (logs archive),S3 (logs archive),S3 (logs archive),main_system_01,1,1,2,0.0064207650273224,0.1968651136036813,0.0,0.051991442122861,1,37,False,0.1286958517349274,medium
MediaConvert (transcoder),MediaConvert (transcoder),MediaConvert (transcoder),main_system_01,1,4,5,0.0030054644808743,0.0262295081967213,0.0,0.0150382391180364,6,4,False,0.1992477036489731,medium
ECS Service (encoding orchestrator),ECS Service (encoding orchestrator),ECS Service (encoding orchestrator),main_system_01,0,4,4,0.0,0.0,0.0,0.006783802979897,11,0,False,0.1803921568627451,medium
EC2 Auto Scaling Group (encoding workers),EC2 Auto Scaling Group (encoding workers),EC2 Auto Scaling Group (encoding workers),main_system_01,1,4,5,0.003551912568306,0.0218579234972677,0.0,0.0137753566241829,9,2,False,0.2290574465584121,medium
SQS (encoding jobs queue),SQS (encoding jobs queue),SQS (encoding jobs queue),main_system_01,1,1,2,0.0013661202185792,0.0163934426229508,0.0,0.0082253487891229,10,1,False,0.1411910239402641,medium
SNS (user notifications),SNS (user notifications),SNS (user notifications),main_system_01,3,2,5,0.0049180327868852,0.063231850117096,0.0,0.0278865447845979,6,9,False,0.2212288626555389,medium
SQS (email jobs queue),SQS (email jobs queue),SQS (email jobs queue),main_system_01,1,1,2,0.0008196721311475,0.047423887587822,0.0,0.0186334959591465,6,9,False,0.1035381437759231,low
SQS (webhook events queue),SQS (webhook events queue),SQS (webhook events queue),main_system_01,1,1,2,0.0008196721311475,0.047423887587822,0.0,0.0186334959591465,6,9,False,0.1035381437759231,low
Kinesis (clickstream stream),Kinesis (clickstream stream),Kinesis (clickstream stream),main_system_01,1,1,2,0.014207650273224,0.0273224043715846,0.0,0.008710744970214,19,5,False,0.3593670411356092,high
Kinesis (playback events stream),Kinesis (playback events stream),Kinesis (playback events stream),main_system_01,2,1,3,0.0123994038748137,0.0455373406193078,0.0,0.0103413714620958,19,5,False,0.3621142662031984,high
MSK / Kafka Cluster (event bus),MSK / Kafka Cluster (event bus),MSK / Kafka Cluster (event bus),main_system_01,2,2,4,0.0339841033283656,0.0661202185792349,0.0,0.0229781481535993,18,11,False,0.6258736209299592,high
Lambda (event enricher),Lambda (event enricher),Lambda (event enricher),main_system_01,1,5,6,0.0348037754595131,0.0562060889929742,0.0,0.0165497143290742,17,12,False,0.6745098039215687,high
Glue Data Catalog,Glue Data Catalog,Glue Data Catalog,main_system_01,2,2,4,0.0112021857923497,0.0526932084309133,0.0,0.0230991734567135,14,15,True,0.5326683570944792,high
Athena (ad hoc queries),Athena (ad hoc queries),Athena (ad hoc queries),main_system_01,1,0,1,0.0,0.0487990850171559,0.0,0.0166012324272556,0,16,False,0.0235294117647058,low
Redshift (analytics warehouse),Redshift (analytics warehouse),Redshift (analytics warehouse),main_system_01,3,2,5,0.0255464480874316,0.0776672937382424,0.0,0.0272134708640903,12,17,False,0.5053701868986247,high
SageMaker Endpoint (reco model),SageMaker Endpoint (reco model),SageMaker Endpoint (reco model),main_system_01,1,3,4,0.0,0.0616461748633879,0.0,0.0084310587502177,5,19,False,0.1333333333333333,medium
CloudWatch,CloudWatch,CloudWatch,main_system_01,16,1,17,0.015983606557377,0.2759208005109644,0.0,0.0531895014770882,2,36,False,0.5993859604932468,high
AWS X-Ray,AWS X-Ray,AWS X-Ray,main_system_01,3,0,3,0.0,0.0896671634376552,0.0,0.0111765945388441,0,19,False,0.0705882352941176,low
Datadog Agent (metrics sidecar),Datadog Agent (metrics sidecar),Datadog Agent (metrics sidecar),main_system_01,3,0,3,0.0,0.0896671634376552,0.0,0.0111765945388441,0,19,False,0.0705882352941176,low
IAM,IAM,IAM,main_system_01,7,0,7,0.0,0.1149117276166456,0.0,0.0186768808424067,0,27,False,0.1647058823529411,medium
KMS (encryption keys),KMS (encryption keys),KMS (encryption keys),main_system_01,5,0,5,0.0,0.2250901058016509,0.0,0.0832999945926916,0,44,False,0.1176470588235294,low
Cognito (user pool),Cognito (user pool),Cognito (user pool),main_system_01,1,1,2,0.0004098360655737,0.0273224043715846,0.0,0.0078752613776428,3,5,False,0.0752984836526674,low
VPC (main),VPC (main),VPC (main),main_system_01,17,0,17,0.0,0.360100027785496,0.0,0.086462976849577,0,36,False,0.4,high
NAT Gateway,NAT Gateway,NAT Gateway,main_system_01,0,0,0,0.0,0.0,0.0,0.006783802979897,0,0,False,0.0,low
Internet Gateway,Internet Gateway,Internet Gateway,main_system_01,0,0,0,0.0,0.0,0.0,0.006783802979897,0,0,False,0.0,low
